sku_code,model_code,variant,price_tier,global_launch_date,is_active,created_at,source_system
IPD202501-128-GOL,IPD202501,128GB-Gold,Standard,2025-10-07,Y,2026-02-05 17:51:36.475451,ERP_SKU
IPD202501-128-SPA,IPD202501,128GB-Space Gray,Standard,2025-10-07,Y,2026-02-05 17:51:36.475452,ERP_SKU
IPD202501-256-BLA,IPD202501,256GB-Black,Standard,2025-10-07,Y,2026-02-05 17:51:36.475453,ERP_SKU
IPD202501-256-SIL,IPD202501,256GB-Silver,Premium,2025-10-07,Y,2026-02-05 17:51:36.475454,ERP_SKU
IPD202501-256-BLU,IPD202501,256GB-Blue,Standard,2025-10-07,Y,2026-02-05 17:51:36.475455,ERP_SKU
IPD202501-256-GOL,IPD202501,256GB-Gold,Standard,2025-10-07,Y,2026-02-05 17:51:36.475456,ERP_SKU
IPD202501-256-SPA,IPD202501,256GB-Space Gray,Standard,2025-10-07,Y,2026-02-05 17:51:36.475457,ERP_SKU
IPD202501-512-BLA,IPD202501,512GB-Black,Premium,2025-10-07,Y,2026-02-05 17:51:36.475458,ERP_SKU
IPD202501-512-SIL,IPD202501,512GB-Silver,Standard,2025-10-07,Y,2026-02-05 17:51:36.475459,ERP_SKU
IPD202501-512-BLU,IPD202501,512GB-Blue,Premium,2025-10-07,Y,2026-02-05 17:51:36.475460,ERP_SKU
IPD202501-512-GOL,IPD202501,512GB-Gold,Standard,2025-10-07,Y,2026-02-05 17:51:36.475461,ERP_SKU
IPD202501-512-SPA,IPD202501,512GB-Space Gray,Standard,2025-10-07,Y,2026-02-05 17:51:36.475462,ERP_SKU
MAC202501-128-BLA,MAC202501,128GB-Black,Premium,2025-03-08,Y,2026-02-05 17:51:36.475466,ERP_SKU
MAC202501-128-SIL,MAC202501,128GB-Silver,Standard,2025-03-08,Y,2026-02-05 17:51:36.475467,ERP_SKU
MAC202501-128-BLU,MAC202501,128GB-Blue,Premium,2025-03-08,Y,2026-02-05 17:51:36.475468,ERP_SKU
MAC202501-128-GOL,MAC202501,128GB-Gold,Premium,2025-03-08,Y,2026-02-05 17:51:36.475469,ERP_SKU
MAC202501-128-SPA,MAC202501,128GB-Space Gray,Standard,2025-03-08,Y,2026-02-05 17:51:36.475470,ERP_SKU
MAC202501-256-BLA,MAC202501,256GB-Black,Standard,2025-03-08,Y,2026-02-05 17:51:36.475471,ERP_SKU
MAC202501-256-SIL,MAC202501,256GB-Silver,Standard,2025-03-08,Y,2026-02-05 17:51:36.475472,ERP_SKU
MAC202501-256-BLU,MAC202501,256GB-Blue,Premium,2025-03-08,Y,2026-02-05 17:51:36.475473,ERP_SKU
MAC202501-256-GOL,MAC202501,256GB-Gold,Premium,2025-03-08,Y,2026-02-05 17:51:36.475474,ERP_SKU
MAC202501-256-SPA,MAC202501,256GB-Space Gray,Premium,2025-03-08,Y,2026-02-05 17:51:36.475475,ERP_SKU
MAC202501-512-BLA,MAC202501,512GB-Black,Premium,2025-03-08,Y,2026-02-05 17:51:36.475476,ERP_SKU
MAC202501-512-SIL,MAC202501,512GB-Silver,Standard,2025-03-08,Y,2026-02-05 17:51:36.475477,ERP_SKU
MAC202501-512-BLU,MAC202501,512GB-Blue,Standard,2025-03-08,Y,2026-02-05 17:51:36.475478,ERP_SKU
MAC202501-512-GOL,MAC202501,512GB-Gold,Standard,2025-03-08,Y,2026-02-05 17:51:36.475479,ERP_SKU
MAC202501-512-SPA,MAC202501,512GB-Space Gray,Standard,2025-03-08,Y,2026-02-05 17:51:36.475480,ERP_SKU
WCH202501-41mm,WCH202501,41mm,Premium,2025-09-14,Y,2026-02-05 17:51:36.475485,ERP_SKU
WCH202501-45mm,WCH202501,45mm,Premium,2025-09-14,Y,2026-02-05 17:51:36.475486,ERP_SKU
AIR202501-STD,AIR202501,Standard,Standard,2025-09-20,Y,2026-02-05 17:51:36.475489,ERP_SKU
TV202501-STD,TV202501,Standard,Standard,2025-10-06,Y,2026-02-05 17:51:36.475493,ERP_SKU
HMP202501-STD,HMP202501,Standard,Standard,2025-01-16,Y,2026-02-05 17:51:36.475496,ERP_SKU
DSP202501-27inch,DSP202501,27-inch,Premium,2025-03-15,Y,2026-02-05 17:51:36.475500,ERP_SKU
DSP202501-32inch,DSP202501,32-inch,Premium,2025-03-15,Y,2026-02-05 17:51:36.475500,ERP_SKU
ACC202501-STD,ACC202501,Standard,Standard,2025-06-07,Y,2026-02-05 17:51:36.475505,ERP_SKU
